colsample_bylevel,colsample_bynode,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample,mean_test_score
0.501,0.652,0.95,9.296,0.555,6,6.467,3.29,0.338,0.701,0.9223
0.791,0.65,0.824,4.942,0.832,8,6.512,4.078,4.551,0.728,0.92221
0.713,0.898,0.662,6.521,0.794,5,6.774,3.788,1.202,0.514,0.92207
0.318,0.534,0.445,8.522,0.411,7,6.796,2.382,0.538,0.773,0.92195
0.296,0.951,0.902,9.086,0.349,5,2.946,3.277,3.54,0.885,0.92103
0.812,0.355,0.229,5.724,0.878,5,5.573,4.262,4.555,0.724,0.92074
0.689,0.442,0.253,9.098,0.659,9,1.178,3.291,0.592,0.573,0.92045
0.2,1.0,1.0,0.0,0.2,4,2.587,5.0,0.0,1.0,0.91901
0.2,0.2,1.0,0.0,0.2,4,0.0,0.0,5.0,0.5,0.91881
0.2,1.0,0.2,10.0,0.2,10,7.5,5.0,5.0,1.0,0.91766
0.2,1.0,0.2,10.0,0.9,4,7.5,5.0,5.0,1.0,0.91763
0.533,0.293,0.932,9.571,0.469,7,1.988,3.474,1.442,0.542,0.91616
0.2,0.2,0.2,3.99,0.9,4,0.0,5.0,5.0,1.0,0.91503
0.2,1.0,0.2,10.0,0.9,4,0.0,0.0,5.0,0.5,0.91316
1.0,1.0,0.2,10.0,0.9,10,0.0,5.0,5.0,0.5,0.91146
