kernel,C,coef0,degree,gamma,tol,mean_test_score
poly,328.2228728363534,20.0,5.0,15.0,2.0,0.9191
rbf,734.1279640258691,,,0.0,2.0,0.91682
rbf,697.278631349433,,,0.0,2.0,0.91613
rbf,855.8331629191551,,,5.41317754323515,1.9285172765358125,0.91402
poly,289.1473139125147,14.914411263760428,4.606806605271734,13.986678463476467,0.2010428947839867,0.91267
poly,570.3320022219316,7.327789860708613,4.096566279539324,10.938873418251053,1.5968361957576571,0.91204
poly,504.51160214446685,0.7083325104747509,2.5270528193113018,14.49634896617883,0.34295304783375,0.9099
poly,584.0006160238237,-9.126414858775458,1.0,0.0,0.5881428509664497,0.90774
rbf,341.7682280016296,,,0.0,0.0001,0.90731
poly,711.1765318916913,20.0,1.0,0.0,0.0001,0.90492
poly,672.6483925481579,14.733093174984965,4.262781377821022,13.652585997263747,0.913830354298162,0.90466
poly,681.3933037286993,20.0,1.0,0.0,0.0001,0.90382
poly,371.2229896385122,20.0,1.0,0.0,2.0,0.90359
sigmoid,256.51401001728794,4.285843021416632,,,0.9955943178090582,0.90244
rbf,804.7056467565108,,,5.974733012455559,1.7009028871163785,0.90042
poly,180.5454101049363,7.7954681657353655,5.0,15.0,2.0,0.8999
poly,589.7612639529295,20.0,1.0,0.0,0.0001,0.89982
rbf,656.306202626915,,,5.541835768911932,1.6348956942876551,0.89967
rbf,706.1823752708117,,,4.354656801486625,0.0319529132822975,0.89886
poly,525.8123903325463,5.890937708683119,1.0,0.0,0.0001,0.89826
rbf,740.9983462938777,,,6.943128281873402,1.8883712133535138,0.89734
sigmoid,887.7819194729445,-5.835942522100459,,,2.0,0.89734
poly,739.2242096898051,2.5031610489611857,4.119210011188919,7.413396924991896,1.8045056868894611,0.89719
rbf,257.5866918294662,,,0.0,0.0001,0.89714
poly,388.7712980127883,7.4010324696629235,5.0,15.0,2.0,0.89713
poly,816.4236027493166,5.174634187126345,1.0,0.0,2.0,0.8942
sigmoid,687.3121953325477,3.6056157588522417,,,1.679838401818178,0.89316
poly,468.5291155305844,-9.46558600868369,1.0,0.0,0.0001,0.89313
poly,116.06555233866112,-18.54526957435969,4.971294439280154,0.08652752312118428,0.47433315259729786,0.89022
sigmoid,807.6870341678945,5.673075635365009,,,1.6206220565614853,0.89016
poly,440.6171241942637,20.0,1.0,0.0,0.0001,0.8897
rbf,358.0030497670171,,,0.0,2.0,0.88895
sigmoid,904.5551247649965,-6.546999786238885,,,0.17524458127059703,0.88814
poly,403.6954407229643,-9.336359211285322,1.0,0.0,0.0001,0.88581
poly,643.6984458428972,3.2378649923136478,5.0,15.0,0.0001,0.88563
poly,399.42335213590866,20.0,1.0,0.0,0.0001,0.88523
sigmoid,820.5267229309395,-6.5106530025239095,,,1.5940423412588396,0.88408
sigmoid,800.797446124969,5.209941412771549,,,1.810349834706156,0.88399
sigmoid,907.3993636149024,-0.3116393457075498,,,2.0,0.8799
sigmoid,61.16283573464695,0.9250711363266286,,,0.0001,0.87909
rbf,281.71564618063786,,,0.0,2.0,0.87791
rbf,297.8686678425213,,,0.0,2.0,0.87589
poly,558.6160964622356,7.838815668490189,1.0,0.0,2.0,0.87448
